Pos,球員,排名,勝率,直板勝率,橫板勝率,右手勝率,左手勝率,男子勝率,女子勝率,穩定率,爆發率,平面勝率,短顆勝率,中顆勝率,長顆勝率,NT勝率
1,葉柏旻,1,66.67,100.00,62.50,75.00,0.00,66.67,-,66.67,-,50.00,0.00,-,-,-
2,黃建都,2,100.00,-,100.00,100.00,100.00,100.00,100.00,-,-,100.00,100.00,-,100.00,-
3,林晉霆,3,100.00,-,100.00,100.00,-,100.00,100.00,100.00,-,100.00,-,-,-,100.00
4,林鴻昇,4,100.00,-,100.00,100.00,100.00,100.00,-,100.00,-,100.00,-,-,100.00,100.00
5,張峻林,5,83.52,88.24,82.61,85.53,68.42,83.54,85.00,89.86,61.54,75.00,100.00,100.00,-,-
6,王志耿,6,89.06,87.50,89.29,90.38,83.33,87.72,100.00,91.67,50.00,70.59,83.33,100.00,-,0.00
7,楊致興,7,85.71,-,85.71,80.00,100.00,100.00,75.00,85.71,-,80.00,-,-,100.00,-
8,劉士銘,8,79.73,76.92,81.13,80.95,77.78,79.10,100.00,93.02,60.71,80.00,100.00,-,-,-
9,趙偉伯,9,80.95,100.00,80.00,88.24,50.00,78.95,100.00,75.00,75.00,75.00,100.00,-,-,-
10,黎彥君,10,97.22,100.00,96.67,96.43,100.00,96.67,100.00,97.06,-,85.71,100.00,-,100.00,-
11,葉旗山,11,86.67,100.00,85.71,92.86,0.00,84.62,100.00,86.67,-,87.50,100.00,-,-,-
12,金子恆,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,賴俊穎,13,90.91,-,90.91,90.00,100.00,88.89,100.00,95.00,100.00,81.82,100.00,-,100.00,100.00
14,簡詩耘,14,100.00,100.00,100.00,100.00,100.00,100.00,-,100.00,-,100.00,-,-,100.00,-
15,任家良,15,94.03,100.00,93.65,96.49,80.00,93.44,100.00,100.00,92.59,63.64,100.00,100.00,100.00,-
16,許滋玹,16,80.00,-,80.00,80.00,-,80.00,-,80.00,-,100.00,66.67,-,-,-
17,王鄰凱,17,85.71,100.00,83.33,83.33,100.00,80.00,100.00,-,-,85.71,-,-,-,-
18,陳聖武,18,92.00,100.00,91.67,91.67,100.00,90.00,100.00,92.00,100.00,80.00,-,-,-,-
19,哲綸,19,80.56,100.00,78.79,83.87,60.00,77.42,100.00,100.00,85.71,58.82,100.00,100.00,100.00,100.00
20,夏宇,20,100.00,-,100.00,100.00,100.00,100.00,-,100.00,100.00,100.00,-,100.00,-,-
21,羅凱,21,85.71,-,85.71,85.71,-,85.71,-,-,-,83.33,100.00,-,-,-
22,林鈺宭,22,50.00,-,50.00,66.67,0.00,50.00,-,50.00,-,33.33,-,-,100.00,-
23,黎彥廷,23,79.31,100.00,77.78,80.77,66.67,77.78,100.00,82.14,-,58.33,100.00,-,100.00,-
24,許价印,24,81.25,100.00,78.57,92.86,0.00,83.33,75.00,78.57,100.00,75.00,-,-,100.00,-
25,蔡侑臻,25,77.78,77.78,77.50,78.21,75.00,75.61,100.00,83.87,74.58,53.85,100.00,100.00,100.00,100.00
